amfi_code,scheme_name,fund_house,category,return_3yr_pct,sharpe_ratio,risk_grade,VaR_95,CVaR_95,HHI
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,5.14,Low,-0.0002686575130400159,-0.0004220820655857685,
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,0.93,Moderate,-0.01261262882069356,-0.01549040525311211,0.17470902
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,0.82,High,-0.01922028344426503,-0.023250860269221213,0.11469284
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,0.96,Moderately High,-0.015231617279157872,-0.019411182679158694,0.12980494999999997
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.06,Moderate,-0.01355977641751056,-0.017622879905822203,0.13858416999999998
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,0.91,Moderately High,-0.014711531333512795,-0.01876476958423089,0.16792973
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,0.8,High,-0.017118192655621135,-0.021328305810328105,0.14939642
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,0.92,Moderate,-0.014473851983792741,-0.018401747612732604,0.13439797
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,0.9,High,-0.017882076201903473,-0.02260664210042033,0.14162096000000002
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,0.8,Very High,-0.023483069386777154,-0.03103625202188441,0.11867710000000001
